conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,time_bin,date,clean_text,cluster
1894158761935376589,2025-02-24 22:53:35+00:00,0,Akademisi optimis Danantara bantu menjawab tantangan akademis dan ekonomi #DanantaraBangunNegeri Danantara Terpercaya,1894158761935376589,,,in,,0,0,0,https://x.com/luthfi_habibii/status/1894158761935376589,1687320318829121536,luthfi_habibii,0,2025-02-24,akademisi optimis danantara bantu menjawab tantangan akademis dan ekonomi danantarabangunnegeri danantara terpercaya,1
1894024788345270750,2025-02-24 23:03:10+00:00,0,@prabowo Saya mendukung penuh Danantara utk kebaikan bangsa hanya sangat tidak setuju dg menujuk mantan koruptor dan penjahat ada didalam kepengurusannta. itu sangat menyakitkan pak,1894161175849337075,,prabowo,in,,0,0,0,https://x.com/batusangkak/status/1894161175849337075,1476204200551874565,batusangkak,0,2025-02-24,saya mendukung penuh danantara utk kebaikan bangsa hanya sangat tidak setuju dg menujuk mantan koruptor dan penjahat ada didalam kepengurusannta itu sangat menyakitkan pak,2
1894163039345414441,2025-02-24 23:10:35+00:00,0,Mari sambut Danantara sebagai pengelola investasi yang akan memperkuat pembangunan Indonesia #DanantaraBangunNegeri Danantara Terpercaya,1894163039345414441,,,in,,0,0,0,https://x.com/asri_khayla1/status/1894163039345414441,1689164856484913152,asri_khayla1,0,2025-02-24,mari sambut danantara sebagai pengelola investasi yang akan memperkuat pembangunan indonesia danantarabangunnegeri danantara terpercaya,1
1894160019664638085,2025-02-24 22:58:35+00:00,0,Para akademisi pun melihat potensi besar dari inisiatif pengelolaan investasi baru ini #DanantaraBangunNegeri Danantara Terpercaya,1894160019664638085,,,in,,0,0,0,https://x.com/ceylan_bilgee/status/1894160019664638085,1689527079229169664,ceylan_bilgee,0,2025-02-24,para akademisi pun melihat potensi besar dari inisiatif pengelolaan investasi baru ini danantarabangunnegeri danantara terpercaya,4
1894157179613319241,2025-02-24 22:47:18+00:00,0,Investasi negara makin well-executed dengan sistem Danantara #DanantaraBangunNegeri Danantara Terpercaya,1894157179613319241,,,in,,0,0,0,https://x.com/setyo_budi28/status/1894157179613319241,1844228994679590912,setyo_budi28,0,2025-02-24,investasi negara makin well executed dengan sistem danantara danantarabangunnegeri danantara terpercaya,1
1894160208710279644,2025-02-24 22:59:20+00:00,0,Menghadapi kompleksitas tantangan ekonomi strategi investasi baru lewat Danantara siap menyongsong pembangunan #DanantaraBangunNegeri Danantara Terpercaya,1894160208710279644,,,in,,0,0,0,https://x.com/Anitakarti97143/status/1894160208710279644,1814233721723371520,Anitakarti97143,0,2025-02-24,menghadapi kompleksitas tantangan ekonomi strategi investasi baru lewat danantara siap menyongsong pembangunan danantarabangunnegeri danantara terpercaya,1
1894159607020621968,2025-02-24 22:56:56+00:00,0,Berdiri kokoh Danantara ditemani pemantauan ketat untuk menjaga akuntabilitas #DanantaraBangunNegeri Danantara Terpercaya,1894159607020621968,,,in,,0,0,0,https://x.com/saiful_dwii/status/1894159607020621968,1693918207407775746,saiful_dwii,0,2025-02-24,berdiri kokoh danantara ditemani pemantauan ketat untuk menjaga akuntabilitas danantarabangunnegeri danantara terpercaya,1
1894156077794730360,2025-02-24 22:53:31+00:00,6,@TOM5helby Tenang danantara datang semua hilang... (Maksudnya bukan penganggurannya hilang &amp; beres teratasi tapi Indonesia tinggal kenangan.. ,1894158747171176811,,TOM5helby,in,,0,0,0,https://x.com/Condrom54866688/status/1894158747171176811,1352798798834089984,Condrom54866688,0,2025-02-24,tenang danantara datang semua hilang maksudnya bukan penganggurannya hilang amp beres teratasi tapi indonesia tinggal kenangan,4
1894161782908096971,2025-02-24 23:05:35+00:00,0,Langkah Indonesia menuju investasi efisien makin nyata dengan hadirnya Danantara #DanantaraBangunNegeri Danantara Terpercaya,1894161782908096971,,,in,,0,0,0,https://x.com/atisha_gamayy/status/1894161782908096971,1693839181704011776,atisha_gamayy,0,2025-02-24,langkah indonesia menuju investasi efisien makin nyata dengan hadirnya danantara danantarabangunnegeri danantara terpercaya,1
1894134612672331899,2025-02-24 21:17:37+00:00,0,Manfaat dan antaran jadi tumpuan ekonomi kreatif di Indonesia #DanantaraBangunNegeri Danantara Terpercaya,1894134612672331899,,,in,,0,0,0,https://x.com/guin_masya101/status/1894134612672331899,1687371929450405888,guin_masya101,0,2025-02-24,manfaat dan antaran jadi tumpuan ekonomi kreatif di indonesia danantarabangunnegeri danantara terpercaya,1
